City,Period,Temperature,Status
AGUAS EMENDADAS,2019-01,23.0,Regular
AGUAS EMENDADAS,2019-02,22.0,Regular
AGUAS EMENDADAS,2019-03,22.0,Regular
AGUAS EMENDADAS,2019-04,22.0,Regular
AGUAS EMENDADAS,2019-05,21.0,Regular
AGUAS EMENDADAS,2019-06,19.0,Regular
AGUAS EMENDADAS,2019-07,19.0,Regular
AGUAS EMENDADAS,2019-08,21.0,Regular
AGUAS EMENDADAS,2019-09,24.0,Perfect
AGUAS EMENDADAS,2019-10,24.0,Perfect
AGUAS EMENDADAS,2019-11,23.0,Regular
AGUAS EMENDADAS,2019-12,23.0,Regular
AGUAS EMENDADAS,2020-01,22.0,Regular
AGUAS EMENDADAS,2020-02,22.0,Regular
AGUAS EMENDADAS,2020-03,22.0,Regular
AGUAS EMENDADAS,2020-04,22.0,Regular
AGUAS EMENDADAS,2020-05,19.0,Regular
AGUAS EMENDADAS,2020-06,19.0,Regular
AGUAS EMENDADAS,2020-07,18.0,Regular
AGUAS EMENDADAS,2020-08,21.0,Regular
AGUAS EMENDADAS,2020-09,23.0,Regular
AGUAS EMENDADAS,2020-10,23.0,Regular
AGUAS EMENDADAS,2020-11,22.0,Regular
AGUAS EMENDADAS,2020-12,22.0,Regular
AGUAS EMENDADAS,2021-01,22.0,Regular
AGUAS EMENDADAS,2021-02,21.0,Regular
AGUAS EMENDADAS,2021-03,22.0,Regular
AGUAS EMENDADAS,2021-04,21.0,Regular
AGUAS EMENDADAS,2021-05,20.0,Regular
AGUAS EMENDADAS,2021-06,19.0,Regular
AGUAS EMENDADAS,2021-07,18.0,Regular
AGUAS EMENDADAS,2021-08,21.0,Regular
AGUAS EMENDADAS,2021-09,24.0,Perfect
AGUAS EMENDADAS,2021-10,23.0,Regular
AGUAS EMENDADAS,2021-11,22.0,Regular
AGUAS EMENDADAS,2021-12,21.0,Regular
AGUAS EMENDADAS,2022-01,21.0,Regular
AGUAS EMENDADAS,2022-02,22.0,Regular
AGUAS EMENDADAS,2022-03,22.0,Regular
AGUAS EMENDADAS,2022-04,22.0,Regular
AGUAS EMENDADAS,2022-05,19.0,Regular
AGUAS EMENDADAS,2022-06,19.0,Regular
AGUAS EMENDADAS,2022-07,19.0,Regular
AGUAS EMENDADAS,2022-08,21.0,Regular
AGUAS EMENDADAS,2022-09,23.0,Regular
AGUAS EMENDADAS,2022-10,24.0,Perfect
AGUAS EMENDADAS,2022-11,21.0,Regular
